Index	Date	Time	[uSec]	Freq	Code	Signal	Latitude	Longitude
1587	6/23/2022	19:26:29	167659	150.4	42	105	63.05442	-146.00712
1588	6/23/2022	19:26:29	514725	150.4	44	82	63.0544	-146.00656
1589	6/23/2022	19:26:29	744219	150.4	41	124	63.0544	-146.00656
1590	6/23/2022	19:26:31	20197	150.4	45	101	63.05441	-146.00602
1591	6/23/2022	19:26:33	237307	150.4	90	118	63.05453	-146.00503
1592	6/23/2022	19:26:34	168053	150.4	42	114	63.05464	-146.00459
1593	6/23/2022	19:26:34	513563	150.4	44	105	63.05478	-146.00421
1594	6/23/2022	19:26:34	745104	150.4	41	121	63.05478	-146.00421
1595	6/23/2022	19:26:36	19003	150.4	45	109	63.05495	-146.00386
1596	6/23/2022	19:26:36	234923	150.4	85	107	63.05513	-146.00352
1597	6/23/2022	19:26:37	235925	150.4	87	95	63.05513	-146.00352
1598	6/23/2022	19:26:38	238773	150.4	90	85	63.05531	-146.00317
1599	6/23/2022	19:26:39	168795	150.4	42	151	63.05549	-146.00281
1600	6/23/2022	19:26:39	746805	150.4	41	86	63.05565	-146.00241
1601	6/23/2022	19:26:41	18224	150.4	45	143	63.0558	-146.002
1602	6/23/2022	19:26:42	780613	150.4	84	93	63.05608	-146.00114
1603	6/23/2022	19:26:44	169056	150.4	42	147	63.05622	-146.00069
1604	6/23/2022	19:26:46	17605	150.4	45	104	63.05646	-145.99975
1605	6/23/2022	19:26:46	916117	150.4	94	85	63.05656	-145.99925
1606	6/23/2022	19:26:47	236736	150.4	87	102	63.05656	-145.99925
1607	6/23/2022	19:26:49	170667	150.4	42	88	63.05671	-145.99814
1608	6/23/2022	19:26:49	515429	150.4	44	101	63.05678	-145.99759
1609	6/23/2022	19:26:50	851595	150.4	91	92	63.05685	-145.99705
1610	6/23/2022	19:26:52	416501	150.4	94	90	63.05705	-145.99605
1611	6/23/2022	19:26:54	517536	150.4	44	80	63.05729	-145.99518
1612	6/23/2022	19:26:54	722725	150.4	49	85	63.05729	-145.99518
1613	6/23/2022	19:26:56	352064	150.4	91	110	63.05759	-145.99441
1614	6/23/2022	19:26:57	237621	150.4	87	119	63.05759	-145.99441
1615	6/23/2022	19:26:57	781749	150.4	84	115	63.05776	-145.9941
1616	6/23/2022	19:27:01	852421	150.4	91	108	63.05857	-145.99334
1617	6/23/2022	19:27:02	238149	150.4	87	132	63.05857	-145.99334
1618	6/23/2022	19:27:02	783088	150.4	84	93	63.05879	-145.99329
1619	6/23/2022	19:27:03	417323	150.4	94	98	63.05901	-145.99328
1620	6/23/2022	19:27:04	172704	150.4	42	87	63.05901	-145.99328
1621	6/23/2022	19:27:07	353163	150.4	91	109	63.05993	-145.99299
1622	6/23/2022	19:27:07	782704	150.4	84	148	63.05993	-145.99299
1623	6/23/2022	19:27:08	917968	150.4	94	101	63.06015	-145.99279
1624	6/23/2022	19:27:09	919461	150.4	999	65	63.06035	-145.99253
1625	6/23/2022	19:27:12	239627	150.4	87	110	63.0607	-145.99188
1626	6/23/2022	19:27:14	203595	150.4	93	80	63.06099	-145.99111
1627	6/23/2022	19:27:14	418331	150.4	94	120	63.06111	-145.99068
1628	6/23/2022	19:27:14	723317	150.4	49	117	63.06111	-145.99068
1629	6/23/2022	19:27:17	239840	150.4	87	128	63.0613	-145.98974
1630	6/23/2022	19:27:17	784688	150.4	999	88	63.06136	-145.98923
1631	6/23/2022	19:27:18	354267	150.4	91	129	63.06141	-145.98868
1632	6/23/2022	19:27:19	954149	150.4	999	80	63.06143	-145.98812
1633	6/23/2022	19:27:20	882571	150.4	96	127	63.06145	-145.98755
1634	6/23/2022	19:27:22	240555	150.4	87	110	63.06147	-145.98697
1635	6/23/2022	19:27:22	785419	150.4	999	87	63.06148	-145.9864
1636	6/23/2022	19:27:23	855157	150.4	91	104	63.0615	-145.98582
1637	6/23/2022	19:27:24	724501	150.4	49	166	63.06151	-145.98523
1638	6/23/2022	19:27:25	419589	150.4	94	114	63.06152	-145.98463
1639	6/23/2022	19:27:26	383456	150.4	96	134	63.06152	-145.98401
1640	6/23/2022	19:27:27	106741	150.4	46	109	63.06152	-145.98401
1641	6/23/2022	19:27:27	574800	150.4	183	88	63.06152	-145.98339
1642	6/23/2022	19:27:29	953019	150.4	43	110	63.0615	-145.98215
1643	6/23/2022	19:27:32	242357	150.4	87	94	63.06146	-145.98091
1644	6/23/2022	19:27:32	575349	150.4	183	97	63.06143	-145.98029
1645	6/23/2022	19:27:37	575461	150.4	183	110	63.06116	-145.97728
1646	6/23/2022	19:27:39	634731	150.4	82	85	63.06116	-145.97617
1647	6/23/2022	19:27:46	659051	150.4	74	83	63.06219	-145.97481
1648	6/23/2022	19:27:49	240480	150.4	61	115	63.0625	-145.97539
1649	6/23/2022	19:27:51	359573	150.4	91	87	63.06268	-145.97687
1650	6/23/2022	19:27:52	244011	150.4	87	111	63.06268	-145.97687
1651	6/23/2022	19:27:52	706139	150.4	93	94	63.06264	-145.97746
1652	6/23/2022	19:27:54	728011	150.4	49	130	63.0624	-145.97859
1653	6/23/2022	19:27:54	956965	150.4	43	88	63.0624	-145.97859
1654	6/23/2022	19:27:56	859083	150.4	91	119	63.06196	-145.97949
1655	6/23/2022	19:27:57	110912	150.4	46	116	63.06196	-145.97949
1656	6/23/2022	19:27:57	244373	150.4	87	135	63.06196	-145.97949
1657	6/23/2022	19:27:57	577504	150.4	999	104	63.06168	-145.97979
1658	6/23/2022	19:27:58	423333	150.4	94	118	63.06139	-145.97998
1659	6/23/2022	19:27:59	417349	150.4	999	87	63.06107	-145.98006
1660	6/23/2022	19:28:02	578304	150.4	999	94	63.06011	-145.97972
1661	6/23/2022	19:28:07	246816	150.4	87	84	63.0589	-145.9786
1662	6/23/2022	19:28:07	578224	150.4	183	153	63.05859	-145.97832
1663	6/23/2022	19:28:21	811840	150.4	92	99	63.05449	-145.98025
1664	6/23/2022	19:28:27	312208	150.4	92	122	63.05367	-145.98387
1665	6/23/2022	19:28:32	812640	150.4	92	154	63.0526	-145.98657
1666	6/23/2022	19:28:38	313712	150.4	92	100	63.05144	-145.98923
1667	6/23/2022	19:28:40	848315	150.4	47	123	63.05106	-145.99112
1668	6/23/2022	19:28:45	848613	150.4	47	151	63.05126	-145.99394
1669	6/23/2022	19:28:55	849675	150.4	47	105	63.05316	-145.99453
1670	6/23/2022	19:29:12	253317	150.4	87	102	63.05559	-145.98876
1671	6/23/2022	19:29:12	797659	150.4	84	87	63.05577	-145.98848
1672	6/23/2022	19:29:13	869605	150.4	91	85	63.05594	-145.98818
